"","line","f","m","dif","avg"
"1","line_88",50.9387755102041,69.92,-18.9812244897959,60.4293877551021
"2","line_508",52.96,59.04,-6.08,56
"3","line_85",43.04,47.68,-4.64,45.36
"4","line_517",44.32,47.68,-3.36,46
"5","line_703",45.6,48,-2.4,46.8
"6","line_315",51.84,54.0408163265306,-2.2008163265306,52.9404081632653
"7","line_324",34.4489795918367,36.6315789473684,-2.18259935553171,35.5402792696026
"8","line_189",57.6,59.2,-1.6,58.4
"9","line_83",55.52,56.96,-1.44,56.24
"10","line_31",72.1194029850746,72,0.119402985074601,72.0597014925373
"11","line_857",57.469387755102,56.8163265306122,0.653061224489797,57.1428571428571
"12","line_325",43.68,40.8510638297872,2.8289361702128,42.2655319148936
"13","line_761",54.88,51.84,3.04,53.36
"14","line_765",38.08,34.6122448979592,3.4677551020408,36.3461224489796
"15","line_808",42.7755102040816,39.0204081632653,3.7551020408163,40.8979591836734
"16","line_208",53.6,49.3333333333333,4.2666666666667,51.4666666666667
"17","line_712",39.84,35.2,4.64,37.52
"18","line_26",39.1111111111111,34.1052631578947,5.0058479532164,36.6081871345029
"19","line_853",56.3265306122449,51.2340425531915,5.0924880590534,53.7802865827182
"20","line_897",63.6734693877551,58.24,5.4334693877551,60.9567346938776
"21","line_365",50.5,45.0612244897959,5.4387755102041,47.780612244898
"22","line_307",75.7446808510638,70.2978723404255,5.44680851063831,73.0212765957447
"23","line_850",45.8666666666667,40,5.8666666666667,42.9333333333334
"24","line_559",54.530612244898,48.6530612244898,5.87755102040821,51.5918367346939
"25","line_229",39.3469387755102,33.3333333333333,6.0136054421769,36.3401360544217
"26","line_787",59.5744680851064,53.44,6.13446808510641,56.5072340425532
"27","line_303",54.72,48.32,6.4,51.52
"28","line_233",73.1428571428571,66.56,6.58285714285709,69.8514285714286
"29","line_28",50.08,43.36,6.72,46.72
"30","line_855",51.4285714285714,44.6666666666667,6.7619047619047,48.0476190476191
"31","line_38",44.7142857142857,37.8775510204082,6.8367346938775,41.2959183673469
"32","line_381",42.3829787234043,35.52,6.8629787234043,38.9514893617022
"33","line_705",74.6666666666667,67.6666666666667,7,71.1666666666667
"34","line_796",62.72,55.3191489361702,7.4008510638298,59.0195744680851
"35","line_627",48.48,40.96,7.52,44.72
"36","line_390",44.734693877551,37.0909090909091,7.6437847866419,40.9128014842301
"37","line_505",41.6326530612245,33.7959183673469,7.8367346938776,37.7142857142857
"38","line_805",55.0204081632653,47.1666666666667,7.8537414965986,51.093537414966
"39","line_367",60.8,52.734693877551,8.06530612244899,56.7673469387755
"40","line_443",58.08,49.92,8.16,54
"41","line_513",44.64,36.48,8.16,40.56
"42","line_321",52,43.7446808510638,8.2553191489362,47.8723404255319
"43","line_181",56.96,48.64,8.32,52.8
"44","line_810",61.3877551020408,53.0612244897959,8.3265306122449,57.2244897959183
"45","line_821",65.6,57.2,8.39999999999999,61.4
"46","line_911",44.0816326530612,35.68,8.4016326530612,39.8808163265306
"47","line_109",53.44,44.96,8.48,49.2
"48","line_900",50.4,41.8333333333333,8.5666666666667,46.1166666666666
"49","line_409",51.04,42.24,8.8,46.64
"50","line_352",45.6,36.8,8.8,41.2
"51","line_492",70.2666666666667,61.4492753623188,8.81739130434789,65.8579710144927
"52","line_354",57.9591836734694,49.12,8.8391836734694,53.5395918367347
"53","line_340",57.6326530612245,48.64,8.9926530612245,53.1363265306123
"54","line_304",68.96,59.68,9.27999999999999,64.32
"55","line_362",74.8070175438596,65.4358974358974,9.3711201079622,70.1214574898785
"56","line_555",50.88,41.44,9.44,46.16
"57","line_348",50.08,40.6274509803922,9.4525490196078,45.3537254901961
"58","line_59",45.0612244897959,35.52,9.54122448979589,40.290612244898
"59","line_129",42.7755102040816,33.0847457627119,9.6907644413697,37.9301279833967
"60","line_884",50.8936170212766,41.0181818181818,9.8754352030948,45.9558994197292
"61","line_783",60,50.1224489795918,9.8775510204082,55.0612244897959
"62","line_732",40,30.08,9.92,35.04
"63","line_832",65.7777777777778,55.8367346938776,9.9410430839002,60.8072562358277
"64","line_360",53.7142857142857,43.68,10.0342857142857,48.6971428571429
"65","line_397",50,39.8367346938776,10.1632653061224,44.9183673469388
"66","line_843",75.4042553191489,65.12,10.2842553191489,70.2621276595744
"67","line_101",57.76,47.2,10.56,52.48
"68","line_774",60.64,50.08,10.56,55.36
"69","line_727",46.7058823529412,36.1411764705882,10.564705882353,41.4235294117647
"70","line_319",64.8333333333333,54.0408163265306,10.7925170068027,59.437074829932
"71","line_427",53.2525252525253,42.4,10.8525252525253,47.8262626262626
"72","line_149",47,35.84,11.16,41.42
"73","line_738",46.08,34.88,11.2,40.48
"74","line_359",51.84,40.64,11.2,46.24
"75","line_161",53.76,42.4489795918367,11.3110204081633,48.1044897959183
"76","line_138",59.52,47.8367346938776,11.6832653061224,53.6783673469388
"77","line_502",42.6122448979592,30.88,11.7322448979592,36.7461224489796
"78","line_837",67.2432432432432,55.3333333333333,11.9099099099099,61.2882882882882
"79","line_377",64.1632653061225,52.2448979591837,11.9183673469388,58.2040816326531
"80","line_801",58.4489795918367,46.4,12.0489795918367,52.4244897959183
"81","line_301",66.4,54.2022471910112,12.1977528089888,60.3011235955056
"82","line_890",50.2857142857143,38.08,12.2057142857143,44.1828571428571
"83","line_386",37.7543859649123,25.4545454545455,12.2998405103668,31.6044657097289
"84","line_799",72.8,60.5,12.3,66.65
"85","line_426",54.5964912280702,42.1224489795918,12.4740422484784,48.359470103831
"86","line_531",56,43.4666666666667,12.5333333333333,49.7333333333333
"87","line_227",52.16,39.36,12.8,45.76
"88","line_634",55.5102040816327,42.6666666666667,12.843537414966,49.0884353741497
"89","line_45",49.44,36.32,13.12,42.88
"90","line_380",42.24,29.12,13.12,35.68
"91","line_239",59.2280701754386,46.08,13.1480701754386,52.6540350877193
"92","line_646",77.7142857142857,64.48,13.2342857142857,71.0971428571428
"93","line_790",71.6734693877551,58.4,13.2734693877551,65.0367346938775
"94","line_405",58.72,45.3877551020408,13.3322448979592,52.0538775510204
"95","line_439",50.5,37.12,13.38,43.81
"96","line_371",57.12,43.68,13.44,50.4
"97","line_802",66.24,52.8,13.44,59.52
"98","line_309",62.2040816326531,48.64,13.5640816326531,55.4220408163266
"99","line_176",54.2040816326531,40.6153846153846,13.5886970172685,47.4097331240188
"100","line_355",66.24,52.48,13.76,59.36
"101","line_310",55.1724137931034,41.3333333333333,13.8390804597701,48.2528735632184
"102","line_461",40.48,26.6122448979592,13.8677551020408,33.5461224489796
"103","line_306",65.3333333333333,51.36,13.9733333333333,58.3466666666666
"104","line_721",63.3333333333333,49.3333333333333,14,56.3333333333333
"105","line_57",48.64,34.56,14.08,41.6
"106","line_908",68.64,54.530612244898,14.109387755102,61.585306122449
"107","line_757",54.5454545454545,40.3333333333333,14.2121212121212,47.4393939393939
"108","line_907",59.52,45.28,14.24,52.4
"109","line_350",53,38.6938775510204,14.3061224489796,45.8469387755102
"110","line_69",49.6326530612245,35,14.6326530612245,42.3163265306123
"111","line_730",68.734693877551,53.92,14.814693877551,61.3273469387755
"112","line_357",63.68,48.8163265306122,14.8636734693878,56.2481632653061
"113","line_373",72.16,57.28,14.88,64.72
"114","line_584",62.08,46.88,15.2,54.48
"115","line_392",51.52,36.32,15.2,43.92
"116","line_589",64.32,49,15.32,56.66
"117","line_566",59.84,44.32,15.52,52.08
"118","line_441",69.12,53.4831460674157,15.6368539325843,61.3015730337079
"119","line_852",66.7755102040816,50.6666666666667,16.1088435374149,58.7210884353741
"120","line_819",49.92,33.7959183673469,16.1240816326531,41.8579591836735
"121","line_195",65.6,49.44,16.16,57.52
"122","line_849",76.1739130434783,59.9183673469388,16.2555456965395,68.0461401952086
"123","line_879",57.3061224489796,40.8,16.5061224489796,49.0530612244898
"124","line_861",50.8936170212766,34.2608695652174,16.6327474560592,42.577243293247
"125","line_49",66.08,49.3061224489796,16.7738775510204,57.6930612244898
"126","line_820",64.3333333333333,47.5,16.8333333333333,55.9166666666667
"127","line_237",53.6,36.64,16.96,45.12
"128","line_406",59.063829787234,41.6,17.463829787234,50.331914893617
"129","line_804",54.5671641791045,37.0149253731343,17.5522388059702,45.7910447761194
"130","line_399",55.52,37.92,17.6,46.72
"131","line_859",64.96,47.1836734693878,17.7763265306122,56.0718367346939
"132","line_287",64.6530612244898,46.72,17.9330612244898,55.6865306122449
"133","line_786",64.16,45.7142857142857,18.4457142857143,54.9371428571428
"134","line_42",39.8367346938776,21.28,18.5567346938776,30.5583673469388
"135","line_153",59.04,40.32,18.72,49.68
"136","line_639",56.8,37.8775510204082,18.9224489795918,47.3387755102041
"137","line_551",55.84,36.8,19.04,46.32
"138","line_228",65.9591836734694,46.88,19.0791836734694,56.4195918367347
"139","line_332",47.52,28.4081632653061,19.1118367346939,37.964081632653
"140","line_335",69.12,49.92,19.2,59.52
"141","line_437",64.5137614678899,45.3084112149533,19.2053502529366,54.9110863414216
"142","line_318",59.7446808510638,40.4897959183673,19.2548849326965,50.1172383847155
"143","line_563",57.76,38.4,19.36,48.08
"144","line_595",56.8163265306122,37.3333333333333,19.4829931972789,47.0748299319728
"145","line_383",58.6,39.0857142857143,19.5142857142857,48.8428571428572
"146","line_338",61.28,41.6326530612245,19.6473469387755,51.4563265306123
"147","line_812",91.2,71.52,19.68,81.36
"148","line_395",59.84,40,19.84,49.92
"149","line_177",53.7142857142857,33.44,20.2742857142857,43.5771428571428
"150","line_530",71.340206185567,51.04,20.300206185567,61.1901030927835
"151","line_528",61.2244897959184,40.8163265306122,20.4081632653062,51.0204081632653
"152","line_535",60.8,40.3404255319149,20.4595744680851,50.5702127659575
"153","line_358",55.3469387755102,34.56,20.7869387755102,44.9534693877551
"154","line_894",64.16,43.36,20.8,53.76
"155","line_142",59.265306122449,38.4,20.865306122449,48.8326530612245
"156","line_382",67.5,46.530612244898,20.969387755102,57.015306122449
"157","line_317",48.64,27.6666666666667,20.9733333333333,38.1533333333334
"158","line_913",78.88,57.76,21.12,68.32
"159","line_737",66.4,45.28,21.12,55.84
"160","line_374",60.48,39.1489361702128,21.3310638297872,49.8144680851064
"161","line_235",71.3333333333333,49.9555555555556,21.3777777777777,60.6444444444444
"162","line_91",71.36,49.76,21.6,60.56
"163","line_776",79.68,57.92,21.76,68.8
"164","line_375",66.72,44.6666666666667,22.0533333333333,55.6933333333333
"165","line_105",73.12,51.04,22.08,62.08
"166","line_93",57.12,34.88,22.24,46
"167","line_41",77.7142857142857,55.3962264150943,22.3180592991914,66.55525606469
"168","line_370",55.04,32.6666666666667,22.3733333333333,43.8533333333334
"169","line_75",90.24,67.84,22.4,79.04
"170","line_48",78.88,56.32,22.56,67.6
"171","line_385",71.8367346938775,49.12,22.7167346938775,60.4783673469388
"172","line_748",63.68,40.96,22.72,52.32
"173","line_73",73.92,51.1020408163265,22.8179591836735,62.5110204081632
"174","line_707",80.4897959183673,57.6666666666667,22.8231292517006,69.078231292517
"175","line_486",68.8,45.92,22.88,57.36
"176","line_630",68.0888888888889,45.2,22.8888888888889,56.6444444444445
"177","line_223",68.1666666666667,45.0434782608696,23.1231884057971,56.6050724637682
"178","line_822",77.7142857142857,54.530612244898,23.1836734693877,66.1224489795919
"179","line_596",70.88,47.36,23.52,59.12
"180","line_32",56.16,32.32,23.84,44.24
"181","line_280",69.8333333333333,45.6666666666667,24.1666666666666,57.75
"182","line_361",55.84,30.72,25.12,43.28
"183","line_892",64,38.72,25.28,51.36
"184","line_40",67.3333333333333,41.6,25.7333333333333,54.4666666666667
"185","line_887",73.6666666666667,47.8333333333333,25.8333333333334,60.75
"186","line_818",69,43.04,25.96,56.02
"187","line_158",77.0612244897959,51,26.0612244897959,64.030612244898
"188","line_100",77.92,49.28,28.64,63.6
"189","line_440",70.3505154639175,40.3333333333333,30.0171821305842,55.3419243986254
"190","line_714",74.6122448979592,44,30.6122448979592,59.3061224489796
"191","line_336",75.1020408163265,44.0816326530612,31.0204081632653,59.5918367346938
"192","line_491",78.4,46.72,31.68,62.56
"193","line_391",63.2,30.24,32.96,46.72
"194","line_313",72.8163265306122,39.8333333333333,32.9829931972789,56.3248299319728
"195","line_379",88.1818181818182,55.1666666666667,33.0151515151515,71.6742424242425
"196","line_320",87.52,54.3673469387755,33.1526530612245,70.9436734693877
"197","line_642",89,55.7714285714286,33.2285714285714,72.3857142857143
"198","line_882",89.28,54.0408163265306,35.2391836734694,71.6604081632653
"199","line_356",83.1020408163265,46,37.1020408163265,64.5510204081633
"200","line_21",74.72,36.7719298245614,37.9480701754386,55.7459649122807
"201","line_136",104.32,63.04,41.28,83.68
"202","line_716",87.04,43.52,43.52,65.28
"203","line_217",106.56,60.32,46.24,83.44
